generator,query_type,task,retention_signal,metric_delta,spearman_rho,ci95_low_query_bootstrap,ci95_high_query_bootstrap,p_raw_approx,num_queries,bootstrap_iterations,p_holm_24,significant_holm_0.05
deepseek,hyde_style,contractnli,combined_anchor_retention_v2,delta_Recall@100,0.1308069779279262,-0.16384556850748117,0.4047963777197198,0.3652273853282575,50,10000,1.0,False
deepseek,hyde_style,cuad,combined_anchor_retention_v2,delta_Recall@100,0.4983846386650017,0.23970170938464608,0.7031440044874254,0.00023019561898441937,50,10000,0.004143521141719548,True
deepseek,hyde_style,maud,combined_anchor_retention_v2,delta_Recall@100,0.40325536282268176,0.13583115564341766,0.6207397604309461,0.0036874344845916804,50,10000,0.05899895175346689,False
deepseek,hyde_style,privacy_qa,combined_anchor_retention_v2,delta_Recall@100,0.36543107843312106,0.07757931781003988,0.6057628610895165,0.009065667796813458,50,10000,0.1359850169522019,False
deepseek,keyword_expansion,contractnli,combined_anchor_retention_v2,delta_Recall@100,0.22249848871896058,-0.08229573210656153,0.5233739467206459,0.12041169379469083,50,10000,1.0,False
deepseek,keyword_expansion,cuad,combined_anchor_retention_v2,delta_Recall@100,-0.03578049076620253,-0.3134497570246093,0.24212461009384847,0.8051512682240465,50,10000,1.0,False
deepseek,keyword_expansion,maud,combined_anchor_retention_v2,delta_Recall@100,0.15657893094621977,-0.12206401975250042,0.4217133205483309,0.2775270608797343,50,10000,1.0,False
deepseek,keyword_expansion,privacy_qa,combined_anchor_retention_v2,delta_Recall@100,-0.05267569148668975,-0.21637271202223865,0.1668000687486181,0.7163771570253294,50,10000,1.0,False
deepseek,legal_rewrite,contractnli,combined_anchor_retention_v2,delta_Recall@100,0.487547488046712,-0.05157106231293967,0.8748177652797064,0.0003292575954814779,50,10000,0.005597379123185124,True
deepseek,legal_rewrite,cuad,combined_anchor_retention_v2,delta_Recall@100,-0.019110501602697595,-0.12060864008436226,0.08403998814827134,0.8952012255728301,50,10000,1.0,False
deepseek,legal_rewrite,maud,combined_anchor_retention_v2,delta_Recall@100,,,,,50,10000,,False
deepseek,legal_rewrite,privacy_qa,combined_anchor_retention_v2,delta_Recall@100,-0.07378683093559951,-0.1694261899115731,-0.03591565994735637,0.610576863551749,50,10000,1.0,False
gpt,hyde_style,contractnli,combined_anchor_retention_v2,delta_Recall@100,-0.04480925058750536,-0.3072836624450678,0.23214873248449316,0.7573287792166341,50,10000,1.0,False
gpt,hyde_style,cuad,combined_anchor_retention_v2,delta_Recall@100,-0.08592345675259758,-0.3246708777704471,0.16788983212568753,0.5529788505364007,50,10000,1.0,False
gpt,hyde_style,maud,combined_anchor_retention_v2,delta_Recall@100,,,,,50,10000,,False
gpt,hyde_style,privacy_qa,combined_anchor_retention_v2,delta_Recall@100,-0.05652953627375386,-0.35379869019229787,0.31171525288325314,0.6965912083135448,50,10000,1.0,False
gpt,keyword_expansion,contractnli,combined_anchor_retention_v2,delta_Recall@100,-0.1210222119765458,-0.37178977067395097,0.14810951762387542,0.40248285620284696,50,10000,1.0,False
gpt,keyword_expansion,cuad,combined_anchor_retention_v2,delta_Recall@100,0.21399357627011714,-0.06021911730223664,0.47641657400681103,0.13563685558140523,50,10000,1.0,False
gpt,keyword_expansion,maud,combined_anchor_retention_v2,delta_Recall@100,,,,,50,10000,,False
gpt,keyword_expansion,privacy_qa,combined_anchor_retention_v2,delta_Recall@100,0.036324648001558074,-0.25312830767903605,0.3283521699645406,0.8022470360078253,50,10000,1.0,False
gpt,legal_rewrite,contractnli,combined_anchor_retention_v2,delta_Recall@100,0.0,-0.05157106231293967,0.044977206456954466,1.0,50,10000,1.0,False
gpt,legal_rewrite,cuad,combined_anchor_retention_v2,delta_Recall@100,,,,,50,10000,,False
gpt,legal_rewrite,maud,combined_anchor_retention_v2,delta_Recall@100,,,,,50,10000,,False
gpt,legal_rewrite,privacy_qa,combined_anchor_retention_v2,delta_Recall@100,,,,,50,10000,,False
